source_id,company_name,FILING_DATE,RECORD_NUM,STATUS,STANDING,company_data
387774,X Block Inc,10/29/2024,0006838115,Active,Good Standing,"{'DRAWER_DETAIL_LIST': [{'LABEL': 'Filing Type', 'VALUE': 'Corporation - Business - Foreign', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Status', 'VALUE': 'Active', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - AR', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - RA', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - Other', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Formed In', 'VALUE': 'DELAWARE', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Term of Duration', 'VALUE': 'Perpetual', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Initial Filing Date', 'VALUE': '10/29/2024', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Principal Address', 'VALUE': '1121 WILLS PL\nDENA NEEK\nMINNEAPOLIS, MN 55422', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Mailing Address', 'VALUE': '1121 WILLS PL\nDENA NEEK\nMINNEAPOLIS, MN 55422-4741', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'AR Due Date', 'VALUE': '05/15/2025', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Commercial Registered Agent', 'VALUE': 'Registered Agents Inc\n3003 32ND AVE S STE 240\nFARGO, ND  58108', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}], 'UNAVAILABLE_AR_MESSAGE': None, 'UNAVAILABLE_REINSTATEMENT_MESSAGE': None, 'UNAVAILABLE_RENEWAL_MESSAGE': None, 'AR_BUTTON_LABEL': 'File Annual Report', 'HIDE_CERT_BUTTON': False, 'CERT_BUTTON_LABEL': None}"
356798,X Corp.,04/06/2023,0006253561,Active,Good Standing,"{'DRAWER_DETAIL_LIST': [{'LABEL': 'Filing Type', 'VALUE': 'Corporation - Business - Foreign', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Status', 'VALUE': 'Active', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - AR', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - RA', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - Other', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Formed In', 'VALUE': 'NEVADA', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Term of Duration', 'VALUE': 'Perpetual', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Initial Filing Date', 'VALUE': '04/06/2023', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Principal Address', 'VALUE': '865 FM 1209 BLDG 2\nBASTROP, TX 78602-3227', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Mailing Address', 'VALUE': '865 FM 1209 BLDG 2\nBASTROP, TX 78602-3227', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'AR Due Date', 'VALUE': '05/15/2025', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Commercial Registered Agent', 'VALUE': 'C T CORPORATION SYSTEM\n120 W SWEET AVE\nBISMARCK, ND  58504', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}], 'UNAVAILABLE_AR_MESSAGE': None, 'UNAVAILABLE_REINSTATEMENT_MESSAGE': None, 'UNAVAILABLE_RENEWAL_MESSAGE': None, 'AR_BUTTON_LABEL': 'File Annual Report', 'HIDE_CERT_BUTTON': False, 'CERT_BUTTON_LABEL': None}"
319429,"X Diamond Partners, LLP",07/30/2021,0005577759,Active,Good Standing,"{'DRAWER_DETAIL_LIST': [{'LABEL': 'Filing Type', 'VALUE': 'Limited Liability Partnership - Domestic', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Filing Subtype', 'VALUE': 'Engaged in Farming', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Status', 'VALUE': 'Active', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - AR', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - RA', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - Other', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Formed In', 'VALUE': 'NORTH DAKOTA', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Term of Duration', 'VALUE': 'Perpetual', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Initial Filing Date', 'VALUE': '07/30/2021', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Principal Address', 'VALUE': '2341 BAYVIEW CT SE\nMANDAN, ND 58554', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Mailing Address', 'VALUE': '2341 BAYVIEW CT SE\nMANDAN, ND 58554-6451', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'AR Due Date', 'VALUE': '03/31/2025', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Registered Agent', 'VALUE': 'KENDALL  VETTER\n2341 BAYVIEW COURT SE\nMANDAN, ND  58554', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}], 'UNAVAILABLE_AR_MESSAGE': None, 'UNAVAILABLE_REINSTATEMENT_MESSAGE': None, 'UNAVAILABLE_RENEWAL_MESSAGE': None, 'AR_BUTTON_LABEL': 'File Annual Report', 'HIDE_CERT_BUTTON': False, 'CERT_BUTTON_LABEL': None}"
244002,X ELECTRIC,05/19/2011,0000244382,Active,Good Standing,"{'DRAWER_DETAIL_LIST': [{'LABEL': 'Filing Type', 'VALUE': 'Trade Name', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Status', 'VALUE': 'Active', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Owner Name', 'VALUE': 'XTREME ELECTRICAL SERVICES, INC.', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Owner Address', 'VALUE': '311 RAILROAD ST W\nNYA, MN 55368-9774', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Nature of Business', 'VALUE': 'ELECTRICAL WORK', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Term of Duration', 'VALUE': 'Expires - 5 years', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Initial Filing Date', 'VALUE': '05/19/2011', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Expiration Date', 'VALUE': '05/19/2026', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Principal Address', 'VALUE': '311 RAILROAD ST W\nNORWOOD, MN 55368-9774', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Mailing Address', 'VALUE': '311 RAILROAD ST W\nNORWOOD, MN 55368-9774', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}], 'UNAVAILABLE_AR_MESSAGE': None, 'UNAVAILABLE_REINSTATEMENT_MESSAGE': None, 'UNAVAILABLE_RENEWAL_MESSAGE': None, 'AR_BUTTON_LABEL': 'File Renewal', 'HIDE_CERT_BUTTON': True, 'CERT_BUTTON_LABEL': None}"
352364,X FOODS,02/02/2023,0006173383,Active,Good Standing,"{'DRAWER_DETAIL_LIST': [{'LABEL': 'Filing Type', 'VALUE': 'Trade Name', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Status', 'VALUE': 'Active', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Owner Name', 'VALUE': 'Oech Foods LLC', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Owner Address', 'VALUE': '3875 HWY 16\nBEACH, ND 58621', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Nature of Business', 'VALUE': 'Grocery Store, retail, food supplier, caterer of food.', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Term of Duration', 'VALUE': 'Expires - 5 years', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Initial Filing Date', 'VALUE': '02/02/2023', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Expiration Date', 'VALUE': '02/02/2028', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Principal Address', 'VALUE': '181 N CENTRAL AVE\nBEACH, ND 58621', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Mailing Address', 'VALUE': 'PO BOX 127\nBEACH, ND 58621-0127', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}], 'UNAVAILABLE_AR_MESSAGE': None, 'UNAVAILABLE_REINSTATEMENT_MESSAGE': None, 'UNAVAILABLE_RENEWAL_MESSAGE': None, 'AR_BUTTON_LABEL': 'File Renewal', 'HIDE_CERT_BUTTON': True, 'CERT_BUTTON_LABEL': None}"
336584,X Golf Bismarck,06/01/2022,0005891299,Active,Good Standing,"{'DRAWER_DETAIL_LIST': [{'LABEL': 'Filing Type', 'VALUE': 'Trade Name', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Status', 'VALUE': 'Active', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Owner Name', 'VALUE': 'Elite Golf 2, LLC', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Owner Address', 'VALUE': '1015 S BROADWAY ST STE 22\nMINOT, ND 58701', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Nature of Business', 'VALUE': 'golf simulation, related services, and any lawful business purpose', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Term of Duration', 'VALUE': 'Expires - 5 years', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Initial Filing Date', 'VALUE': '06/01/2022', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Expiration Date', 'VALUE': '06/01/2027', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Principal Address', 'VALUE': '201 UNIVERSITY AVE W\nSTE 1\nMINOT, ND 58703', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Mailing Address', 'VALUE': '201 UNIVERSITY AVE W\nSTE 1\nMINOT, ND 58703-2349', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}], 'UNAVAILABLE_AR_MESSAGE': None, 'UNAVAILABLE_REINSTATEMENT_MESSAGE': None, 'UNAVAILABLE_RENEWAL_MESSAGE': None, 'AR_BUTTON_LABEL': 'File Renewal', 'HIDE_CERT_BUTTON': True, 'CERT_BUTTON_LABEL': None}"
322123,X Golf Minot,09/23/2021,0005643099,Active,Good Standing,"{'DRAWER_DETAIL_LIST': [{'LABEL': 'Filing Type', 'VALUE': 'Trade Name', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Status', 'VALUE': 'Active', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Owner Name', 'VALUE': 'Elite Golf, LLC', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Owner Address', 'VALUE': '1015 S BROADWAY ST STE 22\nMINOT, ND 58701', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Nature of Business', 'VALUE': 'Golfing simulation, related services/goods, and any other lawful business purpose.', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Term of Duration', 'VALUE': 'Expires - 5 years', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Initial Filing Date', 'VALUE': '09/23/2021', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Expiration Date', 'VALUE': '09/23/2026', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Principal Address', 'VALUE': '201 UNIVERSITY AVE W\nSTE 1\nMINOT, ND 58703', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Mailing Address', 'VALUE': '201 UNIVERSITY AVE W\nSTE 1\nMINOT, ND 58703-2349', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}], 'UNAVAILABLE_AR_MESSAGE': None, 'UNAVAILABLE_REINSTATEMENT_MESSAGE': None, 'UNAVAILABLE_RENEWAL_MESSAGE': None, 'AR_BUTTON_LABEL': 'File Renewal', 'HIDE_CERT_BUTTON': True, 'CERT_BUTTON_LABEL': None}"
388292,X Mark Properties LLC,10/23/2024,0006848693,Active,Good Standing,"{'DRAWER_DETAIL_LIST': [{'LABEL': 'Filing Type', 'VALUE': 'Limited Liability Company - Business - Domestic', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Status', 'VALUE': 'Active', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - AR', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - RA', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - Other', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Formed In', 'VALUE': 'NORTH DAKOTA', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Term of Duration', 'VALUE': 'Perpetual', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Initial Filing Date', 'VALUE': '10/23/2024', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Principal Address', 'VALUE': '325 7TH STREET SOUTH\nSUITE 100\nDANNY KRAFT\nFARGO, ND 58103', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Mailing Address', 'VALUE': '325 7TH ST S\nSTE 100\nDANNY KRAFT\nFARGO, ND 58103-1846', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'AR Due Date', 'VALUE': '11/17/2025', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Registered Agent', 'VALUE': 'DANNY  KRAFT\n325 7TH ST S\nSTE 100\nFARGO, ND  58103', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}], 'UNAVAILABLE_AR_MESSAGE': None, 'UNAVAILABLE_REINSTATEMENT_MESSAGE': None, 'UNAVAILABLE_RENEWAL_MESSAGE': None, 'AR_BUTTON_LABEL': 'File Annual Report', 'HIDE_CERT_BUTTON': False, 'CERT_BUTTON_LABEL': None}"
357555,X Payments LLC,04/24/2023,0006261917,Active,Good Standing,"{'DRAWER_DETAIL_LIST': [{'LABEL': 'Filing Type', 'VALUE': 'Limited Liability Company - Business - Foreign', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Status', 'VALUE': 'Active', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - AR', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - RA', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - Other', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Formed In', 'VALUE': 'NEVADA', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Term of Duration', 'VALUE': 'Perpetual', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Initial Filing Date', 'VALUE': '04/24/2023', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Principal Address', 'VALUE': '1355 MARKET ST\nSTE 900\nSAN FRANCISCO, CA 94103', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Mailing Address', 'VALUE': '1355 MARKET ST\nSTE 900\nSAN FRANCISCO, CA 94103-1337', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'AR Due Date', 'VALUE': '11/17/2025', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Commercial Registered Agent', 'VALUE': 'C T CORPORATION SYSTEM\n120 W SWEET AVE\nBISMARCK, ND  58504', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}], 'UNAVAILABLE_AR_MESSAGE': None, 'UNAVAILABLE_REINSTATEMENT_MESSAGE': None, 'UNAVAILABLE_RENEWAL_MESSAGE': None, 'AR_BUTTON_LABEL': 'File Annual Report', 'HIDE_CERT_BUTTON': False, 'CERT_BUTTON_LABEL': None}"
329549,X Realty LLC,02/02/2022,0005781604,Active,Good Standing,"{'DRAWER_DETAIL_LIST': [{'LABEL': 'Filing Type', 'VALUE': 'Limited Liability Company - Business - Domestic', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Status', 'VALUE': 'Active', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - AR', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - RA', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Standing - Other', 'VALUE': 'Good', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Formed In', 'VALUE': 'NORTH DAKOTA', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Term of Duration', 'VALUE': 'Perpetual', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Initial Filing Date', 'VALUE': '02/02/2022', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Principal Address', 'VALUE': '3749 14TH ST W\nWEST FARGO, ND 58078', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Mailing Address', 'VALUE': '3749 14TH ST W\nWEST FARGO, ND 58078-8410', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'AR Due Date', 'VALUE': '11/15/2024', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}, {'LABEL': 'Registered Agent', 'VALUE': 'ERIC  CHRISTIANS\n3749 14TH ST W\nWEST FARGO, ND  58078', 'TYPE': None, 'LINKLABEL': None, 'ALERT_YN': False}], 'UNAVAILABLE_AR_MESSAGE': None, 'UNAVAILABLE_REINSTATEMENT_MESSAGE': None, 'UNAVAILABLE_RENEWAL_MESSAGE': None, 'AR_BUTTON_LABEL': 'File Annual Report', 'HIDE_CERT_BUTTON': False, 'CERT_BUTTON_LABEL': None}"
